MxForce	Drift	Press	TOTEN   	Filename
0.000	0.000	41.07	-27.159123	k10/OUTCAR
0.000	0.000	41.08	-27.159118	k11/OUTCAR
0.000	0.000	41.08	-27.159128	k12/OUTCAR
-1.000	-1.000	-1.00	-1.000000	k13/OUTCAR
-1.000	-1.000	-1.00	-1.000000	k14/OUTCAR
-1.000	-1.000	-1.00	-1.000000	k15/OUTCAR
0.000	0.000	62.42	-26.765424	k1/OUTCAR
0.000	0.000	44.41	-27.124126	k2/OUTCAR
0.000	0.000	41.60	-27.155805	k3/OUTCAR
0.000	0.000	41.33	-27.157826	k4/OUTCAR
0.000	0.000	41.15	-27.158884	k5/OUTCAR
0.000	0.000	41.13	-27.159018	k6/OUTCAR
0.000	0.000	41.09	-27.159099	k7/OUTCAR
0.000	0.000	41.09	-27.159102	k8/OUTCAR
0.000	0.000	41.08	-27.159123	k9/OUTCAR
