Potential (V)	 Current (A)	 Elapsed Time (s)
-1,3388062	 0	 -10,810811
-1,3772583	 -0,0001	 0
-1,4428711	 -0,0001	 10,810811
-1,4541626	 -0,0001	 21,621622
-1,4584351	 -0,0001	 32,432433
-1,456604	 -0,0001	 43,243243
-1,4544678	 -0,0001	 54,054055
-1,4517212	 -0,0001	 64,864865
-1,4474487	 -0,0001	 75,675676
-1,444397	 -0,0001	 86,486486
-1,44104	 -0,0001	 97,297298
-1,4379883	 -0,0001	 108,10811
-1,4346313	 -0,0001	 118,91892
-1,4306641	 -0,0001	 129,72973
-1,4273071	 -0,0001	 140,54054
-1,4230347	 -0,0001	 151,35135
-1,4187622	 -0,0001	 162,16216
-1,4144897	 -0,0001	 172,97297
-1,4099121	 -0,0001	 183,78378
-1,4059448	 -0,0001	 194,59459
-1,4028931	 -0,0001	 205,40541
-1,4001465	 -0,0001	 216,21622
-1,3961792	 -0,0001	 227,02703
-1,3925171	 -0,0001	 237,83784
-1,3894653	 -0,0001	 248,64865
-1,3861084	 -0,0001	 259,45946
-1,3830566	 -0,0001	 270,27027
-1,3790894	 -0,0001	 281,08108
-1,3751221	 -0,0001	 291,89189
-1,3717651	 -0,0001	 302,7027
-1,3693237	 -0,0001	 313,51351
-1,3659668	 -0,0001	 324,32432
-1,3626099	 -0,0001	 335,13514
-1,3577271	 -0,0001	 345,94595
-1,3540649	 -0,0001	 356,75676
-1,3516235	 -0,0001	 367,56757
-1,348877	 -0,0001	 378,37838
-1,3452148	 -0,0001	 389,18919
-1,3421631	 -0,0001	 400
-1,3391113	 -0,0001	 410,81081
-1,3354492	 -0,0001	 421,62162
-1,3323975	 -0,0001	 432,43243
-1,3290405	 -0,0001	 443,24324
-1,3253784	 -0,0001	 454,05405
-1,3226318	 -0,0001	 464,86487
-1,3183594	 -0,0001	 475,67568
-1,315918	 -0,0001	 486,48649
-1,3110352	 -0,0001	 497,2973
-1,3067627	 -0,0001	 508,10811
-1,3021851	 -0,0001	 518,91892
-1,2973022	 -0,0001	 529,72973
-1,2918091	 -0,0001	 540,54054
-1,2872314	 -0,0001	 551,35135
-1,2792969	 -0,0001	 562,16216
-1,2686157	 -0,0001	 572,97297
-1,2542725	 -0,0001	 583,78378
-1,2319946	 -0,0001	 594,59459
-1,1245728	 -0,0001	 605,40541
-1,3552856	 -0,0001	 616,21622
-1,3937378	 -0,0001	 627,02703
-1,4071655	 -0,0001	 637,83784
-1,4129639	 -0,0001	 648,64865
-1,4160156	 -0,0001	 659,45946
-1,4175415	 -0,0001	 670,27027
-1,418457	 -0,0001	 681,08108
-1,4196777	 -0,0001	 691,89189
-1,4199829	 -0,0001	 702,7027
-1,4202881	 -0,0001	 713,51351
-1,4205933	 -0,0001	 724,32432
-1,4215088	 -0,0001	 735,13514
-1,4215088	 -0,0001	 745,94595
-1,4205933	 -0,0001	 756,75676
-1,4193726	 -0,0001	 767,56757
-1,4181519	 -0,0001	 778,37838
-1,4172363	 -0,0001	 789,18919
-1,416626	 -0,0001	 800
-1,4160156	 -0,0001	 810,81081
-1,4163208	 -0,0001	 821,62162
-1,4151001	 -0,0001	 832,43243
-1,413269	 -0,0001	 843,24324
-1,4123535	 -0,0001	 854,05405
-1,4120483	 -0,0001	 864,86486
-1,4102173	 -0,0001	 875,67568
-1,4080811	 -0,0001	 886,48649
-1,4065552	 -0,0001	 897,2973
-1,4044189	 -0,0001	 908,10811
-1,4031982	 -0,0001	 918,91892
-1,4028931	 -0,0001	 929,72973
-1,4019775	 -0,0001	 940,54054
-1,4001465	 -0,0001	 951,35135
-1,3986206	 -0,0001	 962,16216
-1,3970947	 -0,0001	 972,97297
-1,3952637	 -0,0001	 983,78378
-1,3937378	 -0,0001	 994,59459
-1,3912964	 -0,0001	 1005,4054
-1,3903809	 -0,0001	 1016,2162
-1,388855	 -0,0001	 1027,027
-1,3873291	 -0,0001	 1037,8378
-1,3861084	 -0,0001	 1048,6486
-1,3839722	 -0,0001	 1059,4595
-1,3812256	 -0,0001	 1070,2703
-1,3803101	 -0,0001	 1081,0811
-1,3787842	 -0,0001	 1091,8919
-1,3769531	 -0,0001	 1102,7027
-1,3751221	 -0,0001	 1113,5135
-1,3723755	 -0,0001	 1124,3243
-1,37146	 -0,0001	 1135,1351
-1,368103	 -0,0001	 1145,9459
-1,3656616	 -0,0001	 1156,7568
-1,3638306	 -0,0001	 1167,5676
-1,3626099	 -0,0001	 1178,3784
-1,3601685	 -0,0001	 1189,1892
-1,3586426	 -0,0001	 1200
-1,3577271	 -0,0001	 1210,8108
-1,3555908	 -0,0001	 1221,6216
-1,3537598	 -0,0001	 1232,4324
-1,3510132	 -0,0001	 1243,2432
-1,3491821	 -0,0001	 1254,0541
-1,3473511	 -0,0001	 1264,8649
-1,3446045	 -0,0001	 1275,6757
-1,3415527	 -0,0001	 1286,4865
-1,3391113	 -0,0001	 1297,2973
-1,3372803	 -0,0001	 1308,1081
-1,3354492	 -0,0001	 1318,9189
-1,3342285	 -0,0001	 1329,7297
-1,3314819	 -0,0001	 1340,5405
-1,3287354	 -0,0001	 1351,3514
-1,3256836	 -0,0001	 1362,1622
-1,3238525	 -0,0001	 1372,973
-1,3195801	 -0,0001	 1383,7838
-1,317749	 -0,0001	 1394,5946
-1,3140869	 -0,0001	 1405,4054
-1,3095093	 -0,0001	 1416,2162
-1,3067627	 -0,0001	 1427,027
-1,3043213	 -0,0001	 1437,8378
-1,2988281	 -0,0001	 1448,6486
-1,2942505	 -0,0001	 1459,4595
-1,288147	 -0,0001	 1470,2703
-1,2805176	 -0,0001	 1481,0811
-1,2722778	 -0,0001	 1491,8919
-1,2631226	 -0,0001	 1502,7027
-1,2442017	 -0,0001	 1513,5135
-1,1495972	 -0,0001	 1524,3243
-1,2701416	 -0,0001	 1535,1351
-1,3418579	 -0,0001	 1545,9459
-1,368103	 -0,0001	 1556,7568
-1,3845825	 -0,0001	 1567,5676
-1,3919067	 -0,0001	 1578,3784
-1,3955688	 -0,0001	 1589,1892
-1,3970947	 -0,0001	 1600
-1,3980103	 -0,0001	 1610,8108
-1,3986206	 -0,0001	 1621,6216
-1,3980103	 -0,0001	 1632,4324
-1,3989258	 -0,0001	 1643,2432
-1,3989258	 -0,0001	 1654,0541
-1,3980103	 -0,0001	 1664,8649
-1,3970947	 -0,0001	 1675,6757
-1,3967896	 -0,0001	 1686,4865
-1,3955688	 -0,0001	 1697,2973
-1,3934326	 -0,0001	 1708,1081
-1,3922119	 -0,0001	 1718,9189
-1,3919067	 -0,0001	 1729,7297
-1,3912964	 -0,0001	 1740,5405
-1,3894653	 -0,0001	 1751,3514
-1,3879395	 -0,0001	 1762,1622
-1,3870239	 -0,0001	 1772,973
-1,3858032	 -0,0001	 1783,7838
-1,3845825	 -0,0001	 1794,5946
-1,3824463	 -0,0001	 1805,4054
-1,3809204	 -0,0001	 1816,2162
-1,3796997	 -0,0001	 1827,027
-1,3778687	 -0,0001	 1837,8378
-1,3766479	 -0,0001	 1848,6486
-1,3751221	 -0,0001	 1859,4595
-1,3739014	 -0,0001	 1870,2703
-1,3726807	 -0,0001	 1881,0811
-1,3723755	 -0,0001	 1891,8919
-1,3708496	 -0,0001	 1902,7027
-1,3696289	 -0,0001	 1913,5135
-1,3671875	 -0,0001	 1924,3243
-1,3647461	 -0,0001	 1935,1351
-1,3635254	 -0,0001	 1945,9459
-1,3626099	 -0,0001	 1956,7568
-1,3626099	 -0,0001	 1967,5676
-1,3601685	 -0,0001	 1978,3784
-1,3589478	 -0,0001	 1989,1892
-1,3568115	 -0,0001	 2000
-1,3546753	 -0,0001	 2010,8108
-1,3534546	 -0,0001	 2021,6216
-1,3510132	 -0,0001	 2032,4324
-1,348877	 -0,0001	 2043,2432
-1,3470459	 -0,0001	 2054,0541
-1,3458252	 -0,0001	 2064,8649
-1,3446045	 -0,0001	 2075,6757
-1,343689	 -0,0001	 2086,4865
-1,3415527	 -0,0001	 2097,2973
-1,3388062	 -0,0001	 2108,1081
-1,3369751	 -0,0001	 2118,9189
-1,3348389	 -0,0001	 2129,7297
-1,3323975	 -0,0001	 2140,5405
-1,3314819	 -0,0001	 2151,3514
-1,3293457	 -0,0001	 2162,1622
-1,3269043	 -0,0001	 2172,973
-1,3238525	 -0,0001	 2183,7838
-1,3217163	 -0,0001	 2194,5946
-1,3195801	 -0,0001	 2205,4054
-1,317749	 -0,0001	 2216,2162
-1,3156128	 -0,0001	 2227,027
-1,312561	 -0,0001	 2237,8378
-1,3079834	 -0,0001	 2248,6486
-1,3046265	 -0,0001	 2259,4595
