Potential (V)	 Current (A)	 Elapsed Time (s)
-0,024108887	 0	 -14,414415
-0,024108887	 -0,0001	 0
-0,49957275	 -0,0001	 14,414414
-0,58410645	 -0,0001	 28,828829
-0,65429688	 -0,0001	 43,243243
-0,7119751	 -0,0001	 57,657657
-0,75561523	 -0,0001	 72,072072
-0,78186035	 -0,0001	 86,486486
-0,79681396	 -0,0001	 100,9009
-0,80627441	 -0,0001	 115,31532
-0,8114624	 -0,0001	 129,72973
-0,81634521	 -0,0001	 144,14414
-0,8203125	 -0,0001	 158,55856
-0,82305908	 -0,0001	 172,97297
-0,84228516	 -0,0001	 187,38739
-1,031189	 -0,0001	 201,8018
-1,0437012	 -0,0001	 216,21622
-1,0519409	 -0,0001	 230,63063
-1,053772	 -0,0001	 245,04504
-1,0568237	 -0,0001	 259,45946
-1,055603	 -0,0001	 273,87387
-1,0546875	 -0,0001	 288,28829
-1,0549927	 -0,0001	 302,7027
-1,0562134	 -0,0001	 317,11712
-1,0577393	 -0,0001	 331,53153
-1,0574341	 -0,0001	 345,94595
-1,0583496	 -0,0001	 360,36036
-1,0583496	 -0,0001	 374,77477
-1,0577393	 -0,0001	 389,18919
-1,0598755	 -0,0001	 403,6036
-1,05896	 -0,0001	 418,01802
-1,0601807	 -0,0001	 432,43243
-1,0610962	 -0,0001	 446,84685
-1,0601807	 -0,0001	 461,26126
-1,0626221	 -0,0001	 475,67568
-1,060791	 -0,0001	 490,09009
-1,0629272	 -0,0001	 504,5045
-1,0632324	 -0,0001	 518,91892
-1,0638428	 -0,0001	 533,33333
-1,0647583	 -0,0001	 547,74775
-1,0647583	 -0,0001	 562,16216
-1,0641479	 -0,0001	 576,57658
-1,0647583	 -0,0001	 590,99099
-1,0647583	 -0,0001	 605,40541
-1,0656738	 -0,0001	 619,81982
-1,0656738	 -0,0001	 634,23423
-1,0678101	 -0,0001	 648,64865
-1,0675049	 -0,0001	 663,06306
-1,0675049	 -0,0001	 677,47748
-1,0678101	 -0,0001	 691,89189
-1,0690308	 -0,0001	 706,30631
-1,0684204	 -0,0001	 720,72072
-1,0696411	 -0,0001	 735,13514
-1,0693359	 -0,0001	 749,54955
-1,0702515	 -0,0001	 763,96396
-1,0708618	 -0,0001	 778,37838
-1,0699463	 -0,0001	 792,79279
-1,0702515	 -0,0001	 807,20721
-1,0702515	 -0,0001	 821,62162
-1,0714722	 -0,0001	 836,03604
-1,0708618	 -0,0001	 850,45045
-1,0717773	 -0,0001	 864,86486
-1,0717773	 -0,0001	 879,27928
-1,072998	 -0,0001	 893,69369
-1,0736084	 -0,0001	 908,10811
-1,0726929	 -0,0001	 922,52252
-1,0733032	 -0,0001	 936,93694
-1,0733032	 -0,0001	 951,35135
-1,0745239	 -0,0001	 965,76577
-1,0745239	 -0,0001	 980,18018
-1,0751343	 -0,0001	 994,59459
-1,0733032	 -0,0001	 1009,009
-1,0757446	 -0,0001	 1023,4234
-1,0745239	 -0,0001	 1037,8378
-1,0760498	 -0,0001	 1052,2523
-1,0754395	 -0,0001	 1066,6667
