Potential (V)	 Current (A)	 Elapsed Time (s)
-0,909729	 0	 -7,2072073
-0,85876465	 -0,0001	 0
-0,9286499	 -0,0001	 7,2072073
-0,96130371	 -0,0001	 14,414415
-0,97351074	 -0,0001	 21,621621
-0,97961426	 -0,0001	 28,828829
-0,97991943	 -0,0001	 36,036036
-0,98144531	 -0,0001	 43,243243
-0,98175049	 -0,0001	 50,450451
-0,98236084	 -0,0001	 57,657658
-0,98144531	 -0,0001	 64,864865
-0,98205566	 -0,0001	 72,072072
-0,98266602	 -0,0001	 79,279279
-0,98327637	 -0,0001	 86,486486
-0,98358154	 -0,0001	 93,693694
-0,98327637	 -0,0001	 100,9009
-0,98175049	 -0,0001	 108,10811
-0,98205566	 -0,0001	 115,31532
-0,98236084	 -0,0001	 122,52252
-0,98144531	 -0,0001	 129,72973
-0,98205566	 -0,0001	 136,93694
-0,98205566	 -0,0001	 144,14414
-0,98205566	 -0,0001	 151,35135
-0,98114014	 -0,0001	 158,55856
-0,98205566	 -0,0001	 165,76577
-0,98114014	 -0,0001	 172,97297
-0,98022461	 -0,0001	 180,18018
-0,97869873	 -0,0001	 187,38739
-0,97930908	 -0,0001	 194,59459
-0,97930908	 -0,0001	 201,8018
-0,97961426	 -0,0001	 209,00901
-0,98114014	 -0,0001	 216,21622
-0,98083496	 -0,0001	 223,42342
-0,97961426	 -0,0001	 230,63063
-0,97900391	 -0,0001	 237,83784
-0,98022461	 -0,0001	 245,04504
-0,98205566	 -0,0001	 252,25225
-0,98144531	 -0,0001	 259,45946
-0,98205566	 -0,0001	 266,66667
-0,98327637	 -0,0001	 273,87387
-0,98205566	 -0,0001	 281,08108
-0,98052979	 -0,0001	 288,28829
-0,98175049	 -0,0001	 295,4955
-0,98175049	 -0,0001	 302,7027
-0,98236084	 -0,0001	 309,90991
-0,98175049	 -0,0001	 317,11712
-0,98236084	 -0,0001	 324,32432
-0,98205566	 -0,0001	 331,53153
-0,98236084	 -0,0001	 338,73874
-0,98297119	 -0,0001	 345,94595
-0,98358154	 -0,0001	 353,15315
-0,98358154	 -0,0001	 360,36036
-0,98236084	 -0,0001	 367,56757
-0,98297119	 -0,0001	 374,77477
-0,98236084	 -0,0001	 381,98198
-0,98327637	 -0,0001	 389,18919
-0,98327637	 -0,0001	 396,3964
-0,98449707	 -0,0001	 403,6036
-0,98327637	 -0,0001	 410,81081
-0,98510742	 -0,0001	 418,01802
-0,98510742	 -0,0001	 425,22523
-0,98480225	 -0,0001	 432,43243
-0,98571777	 -0,0001	 439,63964
-0,98510742	 -0,0001	 446,84685
-0,98510742	 -0,0001	 454,05405
-0,98419189	 -0,0001	 461,26126
-0,98480225	 -0,0001	 468,46847
-0,98602295	 -0,0001	 475,67568
-0,9854126	 -0,0001	 482,88288
-0,98602295	 -0,0001	 490,09009
-0,98602295	 -0,0001	 497,2973
-0,9854126	 -0,0001	 504,5045
-0,98449707	 -0,0001	 511,71171
-0,9854126	 -0,0001	 518,91892
-0,9854126	 -0,0001	 526,12613
-0,98419189	 -0,0001	 533,33333
-0,9866333	 -0,0001	 540,54054
-0,9854126	 -0,0001	 547,74775
