Angle Intensity Error
10.000 234.000 1.000
10.020 234.000 1.000
10.040 234.000 1.000
10.060 236.000 1.000
10.080 237.000 1.000
10.100 226.000 1.000
10.120 239.000 1.000
10.140 233.000 1.000
10.160 244.000 1.000
10.180 253.000 1.000
10.200 239.000 1.000
10.220 230.000 1.000
10.240 228.000 1.000
10.260 239.000 1.000
10.280 240.000 1.000
10.300 248.000 1.000
10.320 244.000 1.000
10.340 227.000 1.000
10.360 243.000 1.000
10.380 237.000 1.000
10.400 239.000 1.000
10.420 249.000 1.000
10.440 238.000 1.000
10.460 221.000 1.000
10.480 240.000 1.000
10.500 243.000 1.000
10.520 223.000 1.000
10.540 222.000 1.000
10.560 241.000 1.000
10.580 249.000 1.000
10.600 231.000 1.000
10.620 222.000 1.000
10.640 222.000 1.000
10.660 238.000 1.000
10.680 244.000 1.000
10.700 247.000 1.000
10.720 253.000 1.000
10.740 250.000 1.000
10.760 232.000 1.000
10.780 240.000 1.000
10.800 247.000 1.000
10.820 239.000 1.000
10.840 228.000 1.000
10.860 237.000 1.000
10.880 240.000 1.000
10.900 224.000 1.000
10.920 228.000 1.000
10.940 235.000 1.000
10.960 245.000 1.000
10.980 245.000 1.000
11.000 248.000 1.000
11.020 245.000 1.000
11.040 238.000 1.000
11.060 222.000 1.000
11.080 232.000 1.000
11.100 237.000 1.000
11.120 234.000 1.000
11.140 237.000 1.000
11.160 242.000 1.000
11.180 249.000 1.000
11.200 260.000 1.000
11.220 242.000 1.000
11.240 225.000 1.000
11.260 234.000 1.000
11.280 253.000 1.000
11.300 252.000 1.000
11.320 255.000 1.000
11.340 251.000 1.000
11.360 231.000 1.000
11.380 235.000 1.000
11.400 228.000 1.000
11.420 247.000 1.000
11.440 252.000 1.000
11.460 244.000 1.000
11.480 235.000 1.000
11.500 248.000 1.000
11.520 243.000 1.000
11.540 245.000 1.000
11.560 245.000 1.000
11.580 248.000 1.000
11.600 254.000 1.000
11.620 267.000 1.000
11.640 238.000 1.000
11.660 258.000 1.000
11.680 235.000 1.000
11.700 245.000 1.000
11.720 243.000 1.000
11.740 245.000 1.000
